,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid,listing_sub_type.is_FSBA,listing_sub_type.is_openHouse,open_house_info.open_house_showing,datePriceChanged,priceChange,priceReduction,newConstructionType,listing_sub_type.is_newHome
30,38.0,38.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/f84ebebd6a1780799e12591ef535466f-p_e.jpg,False,True,False,False,False,False,False,34.02093,30954.0,-118.50543,acres,0.34460514233241507,,30622000.0,30622000.0,3027.0,False,CA,901 Ocean Ave,,7973810000,,,90403,2068792684,True,,,1756796400000.0,-2000000.0,"$2,000,000 (Sep 2)",,
31,4.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/799da9e2c3ff8411dac74555bb0615f0-p_e.jpg,False,True,False,False,False,False,False,34.031742,2085.0,-118.494125,acres,0.3446,,2699000.0,2699000.0,8255.0,False,CA,831 14th St APT 2,2028780.0,2788432000,Apt 2,2650700.0,90403,20478314,True,,,,,,,
32,8.0,7.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bf15b12e5f0d5da1ed06d7da7fcdfe46-p_e.jpg,False,True,False,False,False,False,False,34.041023,8400.0,-118.49285,sqft,8938.512,,19995000.0,19995000.0,17770.0,False,CA,439 21st St,4284000.0,11870599000,,19287800.0,90402,20476410,True,,,,,,,
33,2.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dd91f2355f4064ce8464d0eab79461e2-p_e.jpg,False,True,False,False,False,False,False,34.03284,1920.0,-118.49551,sqft,7527.168,Tue. 11am-2pm,3999000.0,3999000.0,5446.0,False,CA,723 14th St,1456021.0,2809863000,,2932100.0,90402,20477297,True,True,"[{'open_house_end': 1759870800000, 'open_house_start': 1759860000000}, {'open_house_end': 1760313600000, 'open_house_start': 1760302800000}]",,,,,
34,2.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2a09adcdd68b48879861bf8c263f5b20-p_e.jpg,False,True,False,False,False,False,False,34.03607,1019.0,-118.48751,sqft,2988.216,10/16 10am-12pm,2149999.0,2149999.0,6534.0,False,CA,2021 Idaho Ave,1893527.0,2982424000,,2130400.0,90403,20474861,True,True,"[{'open_house_end': 1760641200000, 'open_house_start': 1760634000000}]",1759129200000.0,-50000.0,"$50,000 (Sep 29)",,
35,3.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/a32dadfc7b19df28b1c2b23cf4c7a23d-p_e.jpg,False,True,False,False,False,False,False,34.02341,1601.0,-118.50571,sqft,7487.964,,1585000.0,1585000.0,7589.0,False,CA,802 3rd St APT B,476496.0,984628000,Apt B,1582000.0,90403,20485537,True,,,,,,,
36,2.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9c6fbb26017d30d4c9464ca66fe1c12f-p_e.jpg,False,True,False,False,False,False,False,34.034058,1240.0,-118.48344,sqft,6351.048,,2650000.0,2650000.0,7391.0,False,CA,1060 22nd St,756793.0,6359397000,,2623200.0,90403,20475571,True,,,1757401200000.0,-40000.0,"$40,000 (Sep 9)",,
37,1.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/96c92b05844a2faecb70765946f55d28-p_e.jpg,False,True,False,False,False,False,False,34.01245,785.0,-118.48446,sqft,7501.032,,795000.0,795000.0,3410.0,False,CA,1835 7th St APT D,842723.0,1075774000,Apt D,791300.0,90401,20484693,True,,,,,,,
38,5.0,4.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc7b9cf2f39ee122c91d24b99f95538b-p_e.jpg,False,True,False,False,False,False,False,34.033585,5228.0,-118.50931,acres,0.3438,,6750000.0,6750000.0,6125.0,False,CA,562 Stassi Ln,4987677.0,18268525000,,6939000.0,90402,20539643,True,,,1752908400000.0,-449000.0,"$449,000 (Jul 19)",,
39,3.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/0e18d02c859abd1efb70a92a16cdada3-p_e.jpg,False,True,False,False,False,False,False,34.02262,1963.0,-118.50478,sqft,7501.032,,2699000.0,2699000.0,7539.0,False,CA,844 3rd St #5,2192756.0,3120865000,# 5,2649300.0,90403,55198014,True,,,1759474800000.0,-151000.0,"$151,000 (Oct 3)",,
40,3.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/69c1e7b08aaee035f696eb112dfdb1f6-p_e.jpg,False,True,False,False,False,False,False,34.01978,1850.0,-118.50334,sqft,7514.1,,2694000.0,2694000.0,7813.0,False,CA,1012 2nd St APT 1,,2789005000,Apt 1,2678600.0,90403,2098895547,True,,,,,,,
